iter	Passed	Remaining
0	9	4649
1	277	68978
2	285	47375
3	294	36510
4	376	37299
5	384	31694
6	393	27680
7	403	24834
8	467	25523
9	475	23320
10	486	21624
11	498	20289
12	586	21979
13	594	20654
14	603	19503
15	611	18490
16	619	17602
17	690	18480
18	699	17701
19	707	16980
20	720	16432
21	813	17669
22	821	17035
23	831	16490
24	839	15957
25	902	16461
26	934	16371
27	956	16116
28	999	16239
29	1013	15876
30	1028	15554
31	1105	16171
32	1829	25896
33	1838	25202
34	1848	24556
35	1856	23930
36	1985	24842
37	1995	24259
38	2022	23907
39	2030	23355
40	2039	22827
41	2109	22999
42	2502	26599
43	2518	26098
44	2529	25575
45	2537	25046
46	2619	25250
47	2629	24756
48	2637	24275
49	2645	23813
50	2709	23850
51	2721	23449
52	2734	23059
53	2824	23327
54	2836	22951
55	2848	22584
56	2862	22245
57	2950	22485
58	2965	22165
59	2974	21811
60	2982	21464
61	3053	21568
62	3061	21232
63	3069	20910
64	3077	20597
65	3157	20761
66	3165	20458
67	3173	20163
68	3182	19876
69	3190	19596
70	3261	19708
71	3287	19541
72	3295	19277
73	3306	19031
74	3314	18781
75	3373	18822
76	3381	18578
77	3390	18344
78	3398	18111
79	3475	18248
80	3484	18023
81	3492	17804
82	3557	17872
83	3570	17684
84	3579	17475
85	3588	17275
86	3667	17408
87	3675	17207
88	3684	17013
89	3691	16818
90	3739	16805
91	3754	16650
92	3762	16466
93	3771	16288
94	3779	16114
95	3832	16126
96	3846	15979
97	3858	15828
98	3917	15868
99	3934	15739
100	3949	15601
101	3958	15444
102	3968	15295
103	3976	15142
104	3985	14994
105	4071	15132
106	4083	14997
107	4091	14850
108	4099	14704
109	4176	14808
110	4185	14667
111	4192	14525
112	4201	14388
113	4282	14501
114	4291	14368
115	4300	14236
116	4308	14105
117	4384	14193
118	4392	14062
119	4400	13934
120	4461	13975
121	4469	13848
122	4499	13789
123	4522	13714
124	4586	13760
125	4599	13652
126	4607	13533
127	4616	13417
128	4625	13302
129	4685	13335
130	4693	13220
131	4701	13106
132	4737	13071
133	4752	12981
134	4769	12894
135	4783	12803
136	4828	12793
137	4836	12687
138	4848	12592
139	4908	12620
140	4916	12517
141	4924	12415
142	4933	12316
143	4974	12297
144	4982	12199
145	4994	12110
146	5007	12025
147	5060	12035
148	5070	11944
149	5085	11866
150	5131	11860
151	5139	11767
152	5148	11677
153	5160	11593
154	5211	11599
155	5220	11511
